2026-03-06 02:34:33,941 | INFO     | __main__ | Log file: /Users/shashank/PycharmProjects/Simulator/logs/prop_monitor_20260306_023433.log
2026-03-06 02:34:33,942 | INFO     | monitor.PropFirmMonitor | Connecting to MetaTrader 5...
2026-03-06 02:34:33,942 | INFO     | monitor.PropFirmMonitor | Using login credentials: LoginConfig(login=732600, password='***', server='BlackBullMarkets-Demo', timeout=60000)
2026-03-06 02:34:34,326 | INFO     | core.mt5_connector | Connected to MT5 - Account: 732600
2026-03-06 02:34:34,339 | INFO     | core.mt5_connector | Server: BlackBullMarkets-Demo, Balance: 5985.36
2026-03-06 02:34:34,398 | INFO     | core.prop_rule_engine | Rule Engine Initialized - FundedNext Express 6K
2026-03-06 02:34:34,399 | INFO     | core.prop_rule_engine | Starting Balance: $6000.00
2026-03-06 02:34:34,399 | INFO     | core.prop_rule_engine | Max Daily Loss: $300.00 (5.0%)
2026-03-06 02:34:34,399 | INFO     | core.prop_rule_engine | Max Total DD: $600.00 (10.0%)
2026-03-06 02:34:34,399 | INFO     | core.prop_rule_engine | Profit Target: $600.00 (10.0%)
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | ======================================================================
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor |   PROP FIRM CHALLENGE MONITOR STARTED
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | ======================================================================
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | Firm: FundedNext Express 6K
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | Starting Balance: $6000.00
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | Poll Interval: 1.0s
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | Auto-close on breach: False
2026-03-06 02:34:34,399 | INFO     | monitor.PropFirmMonitor | ======================================================================
